sid,term_id,cluster
pjxuqwbj962,2020-2021-T1,3
pjxuqwbj967,2020-2021-T1,3
pjxuqwbj974,2020-2021-T1,3
pjxuqwbj976,2020-2021-T1,1
pjxuqwbj980,2020-2021-T1,1
pjxuqwbj985,2020-2021-T1,1
pjxuqwbj986,2020-2021-T1,1
pjxuqwbj988,2020-2021-T1,1
pjxuqwbj992,2020-2021-T1,1
pjxuqwbj993,2020-2021-T1,3
pjxuqwbj994,2020-2021-T1,1
pjxuqwbj996,2020-2021-T1,3
pjxuzsfj977,2020-2021-T1,2
pjxuzsfj978,2020-2021-T1,2
pjxuzsfj980,2020-2021-T1,2
pjxuzsfj981,2020-2021-T1,2
pjxuzsfj983,2020-2021-T1,2
pjxuzsfj984,2020-2021-T1,2
pjxuzsfj988,2020-2021-T1,2
pjxuzsfj995,2020-2021-T1,2
pjxuzvbj991,2020-2021-T1,1
pjxuzvbj996,2020-2021-T1,1
pjxuzxbj984,2020-2021-T1,1
pjxuzxbj986,2020-2021-T1,1
pjxuzxbj987,2020-2021-T1,1
pjxuzxbj997,2020-2021-T1,1
pjxvzrfj975,2020-2021-T1,2
pjxvzrfj978,2020-2021-T1,2
pjxvzrfj981,2020-2021-T1,2
pjxvzrfj997,2020-2021-T1,2
pjxvztfj974,2020-2021-T1,2
pjxvztfj976,2020-2021-T1,2
pjxvztfj977,2020-2021-T1,2
pjxvztfj980,2020-2021-T1,2
pjxvztfj985,2020-2021-T1,2
pjxvztfj990,2020-2021-T1,2
pjxvztfj991,2020-2021-T1,2
pjxvztfj992,2020-2021-T1,2
pjxvztfj994,2020-2021-T1,2
pjxvzxbj989,2020-2021-T1,1
pjxvzxbj996,2020-2021-T1,1
pjxvzxbj997,2020-2021-T1,1
pjxvzxfj970,2020-2021-T1,2
pjxvzxfj972,2020-2021-T1,2
pjxvzxfj980,2020-2021-T1,2
pjxvzxfj982,2020-2021-T1,2
pjxvzxfj987,2020-2021-T1,2
