student_id,life_risk,study_risk,sport_risk,total_risk
pjxyqxbl815,0.8362,0.0208,0.3172,0.3914
pjxuqwbj804,0.5015,0.2023,0.4701,0.3913
pjxsqxbj831,0.5015,0.1876,0.4833,0.3908
pjxyqwbk668,0.5015,0.1439,0.5237,0.3897
pjxyqwbj598,0.7275,0.0259,0.4153,0.3896
pjxyqxbj869,,0.3024,0.4763,0.3893
pjxyqxbj795,0.5015,0.0243,0.6412,0.389
pjxyqwbk538,0.5015,0.089,0.5756,0.3887
pjxyqwbj691,0.8928,0.0275,0.2439,0.3881
pjxyqwbj156,0.5015,0.2101,0.4521,0.3879
pjxyqwbj356,0.69,0.0281,0.4449,0.3877
pjxuqwbj593,0.5369,0.0509,0.575,0.3876
pjxuqwbj538,0.5015,0.1439,0.5174,0.3876
pjxyqxbk775,0.5015,0.1439,0.5174,0.3876
pjxyqwbj754,0.5015,0.1439,0.5158,0.3871
pjxyqwbj592,0.5015,0.1132,0.5426,0.3858
pjxyqxbj857,0.5015,0.2078,0.4479,0.3857
pjxyqxbk745,,0.312,0.4592,0.3856
pjxyqxbl817,0.6783,0.0267,0.4516,0.3855
pjxyqwbj718,0.5015,0.134,0.5209,0.3855
pjxyqxbj512,0.8305,0.0101,0.3141,0.3849
pjxuqwbj496,0.5015,0.129,0.5241,0.3849
pjxyqwbj760,0.5015,0.176,0.4771,0.3849
pjwrqxbj916,0.5015,0.0982,0.5547,0.3848
pjxyqxbk302,0.5015,0.2534,0.3972,0.384
pjxyqxbj760,0.5015,0.5107,0.1373,0.3832
pjxsqxbj983,0.5015,0.0146,0.6331,0.383
pjxyqwbk893,0.6465,0.1343,0.3679,0.3829
pjxsqxbj857,0.5015,0.1253,0.5209,0.3825
pjxuqwbj830,0.5015,0.1439,0.5014,0.3823
pjxrqxbj898,0.5015,0.2493,0.3928,0.3812
pjxyqwbj658,0.5015,0.0267,0.6153,0.3812
pjxyqxbk031,0.7338,0.0193,0.3882,0.3804
pjxyqwbj518,0.5015,0.0953,0.5439,0.3802
pjxxxxbj941,0.5015,0.1236,0.5142,0.3797
pjxyqxbk772,0.5015,0.0974,0.5393,0.3794
pjxyqwbk951,0.5015,0.1439,0.4928,0.3794
pjxqzxbj979,0.5015,0.0858,0.5503,0.3792
pjwrqxbj948,0.5015,0.1099,0.5261,0.3792
pjwtqxbj965,0.7258,0.0242,0.3868,0.379
pjxuqwbj847,0.5015,0.1242,0.5108,0.3788
pjxuqwbj679,0.5015,0.0153,0.6196,0.3788
pjxyqxbl804,0.5015,0.1249,0.5091,0.3785
pjxyqwbj380,0.5015,0.1505,0.4828,0.3783
pjxyqwbk540,0.5015,0.0918,0.5415,0.3783
pjxyqwbk996,,0.1992,0.5565,0.3779
pjxyqxbj968,0.5015,0.0208,0.6107,0.3777
pjxyqxbk731,0.5015,0.1491,0.482,0.3775
pjxyqxbk609,0.5015,0.0325,0.5983,0.3774
pjxyqwbj522,0.5369,0.0284,0.5658,0.377
pjxuqwbj445,0.5015,0.1439,0.4855,0.3769
pjxyqxbk524,0.8129,0.0097,0.306,0.3762
pjxyqwbj454,0.5015,0.0885,0.5385,0.3762
pjxyqwbj321,0.5015,0.0244,0.6023,0.3761
pjxyqxbk495,0.5015,0.0356,0.5905,0.3758
pjxyqwbk701,0.5015,0.1071,0.5181,0.3755
pjxyqwbj340,0.5015,0.1439,0.4811,0.3755
pjxyqxbl955,0.5015,0.0223,0.6025,0.3754
pjxyqwbk808,0.675,0.0325,0.4186,0.3754
pjxyqwbj589,0.5015,0.1679,0.4562,0.3752
pjwrqxbj898,,0.3035,0.446,0.3747
pjxyqwbj787,0.7731,0.0257,0.3245,0.3744
pjxyqxbk294,,0.2098,0.5374,0.3736
pjxyqwbj033,0.5015,0.0551,0.5637,0.3734
pjxyqwbk824,0.5015,0.1,0.5186,0.3734
pjwrqxbj919,,0.1514,0.5953,0.3734
pjxxxxbj970,0.5015,0.242,0.3761,0.3732
pjxyqxbk954,0.5015,0.1635,0.4543,0.3731
pjxuqwbj490,0.5015,0.1439,0.4738,0.3731
pjxyqxbj607,0.5015,0.2293,0.3882,0.373
pjxyqxbk916,0.5015,0.1013,0.5161,0.3729
pjxqzxbj985,0.3642,0.3693,0.3853,0.3729
pjxqqxbj986,0.5015,0.0616,0.5546,0.3726
pjxyqxbl759,0.5015,0.0223,0.5933,0.3724
pjxyqxbj214,0.909,0.0149,0.193,0.3723
pjwrqxbj918,0.5015,0.0657,0.5493,0.3721
pjxyqxbk067,0.5015,0.0634,0.5511,0.372
pjxyqxbj374,0.5015,0.0156,0.5979,0.3717
pjxyqwbk919,0.5015,0.1,0.5134,0.3716
pjxuzvbj996,0.5015,0.2038,0.4095,0.3716
pjxyqxbk780,0.5015,0.0184,0.5947,0.3715
pjxyqwbj366,0.5015,0.0259,0.5871,0.3715
pjxyqxbk201,0.5015,0.1439,0.469,0.3715
pjxyqxbk350,0.7576,0.0352,0.3208,0.3712
pjxyqwbj671,0.5015,0.1151,0.4947,0.3704
pjxyqxbl763,0.5015,0.2012,0.4083,0.3703
pjxxxxbj955,0.6194,0.1301,0.3615,0.3703
pjxuqwbj787,0.5015,0.0153,0.5942,0.3703
pjxyqwbk542,0.5015,0.1534,0.4559,0.3703
pjxyqwbj077,0.5015,0.135,0.4731,0.3699
pjxyqwbj174,0.5015,0.1576,0.4504,0.3698
pjxyqwbj444,0.5015,0.2086,0.399,0.3697
pjxyqwbj785,0.5015,0.1439,0.4635,0.3696
pjxyqxbj922,0.5015,0.0565,0.5509,0.3696
